entry,at,order
"""JX @ 2G9coVWBct"" wins 3039 with Straight, 9 High (hand: 6♥, 5♠)",2020-05-30T05:48:35.226Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 713",2020-05-30T05:48:34.318Z,1.59082E+14
"""Han @ zkpZrelbNa"" folds",2020-05-30T05:48:31.931Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 713",2020-05-30T05:48:30.978Z,1.59082E+14
"""JX @ 2G9coVWBct"" raises with 713",2020-05-30T05:48:26.935Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:48:22.923Z,1.59082E+14
"""Han @ zkpZrelbNa"" checks",2020-05-30T05:48:16.448Z,1.59082E+14
"river: 4♣, 7♣, 8♦, 7♥ [9♠]",2020-05-30T05:48:14.235Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 200",2020-05-30T05:48:13.320Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" folds",2020-05-30T05:48:11.861Z,1.59082E+14
"""Han @ zkpZrelbNa"" calls with 200",2020-05-30T05:48:07.808Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 200",2020-05-30T05:47:56.401Z,1.59082E+14
"""JX @ 2G9coVWBct"" raises with 200",2020-05-30T05:47:48.095Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 20",2020-05-30T05:47:44.199Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:47:40.845Z,1.59082E+14
"""Han @ zkpZrelbNa"" checks",2020-05-30T05:47:38.042Z,1.59082E+14
"turn: 4♣, 7♣, 8♦ [7♥]",2020-05-30T05:47:35.729Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:47:34.814Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:47:33.862Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:47:32.487Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:47:31.522Z,1.59082E+14
